,Student_Id,Sem,subject code,subject,subject_short,grade,credits
0,21PA1A0101,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,B,3
1,21PA1A0101,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,B,3
2,21PA1A0101,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,B,3
3,21PA1A0101,I B.Tech - I Semester,  20BS1T03,  ENGINEERING PHYSICS, EP,D,3
4,21PA1A0101,I B.Tech - I Semester,  20ME1T01,  ENGINEERING GRAPHICS, EG,C,3
5,21PA1A0101,I B.Tech - I Semester,  20BS1P02,  ENGINEERING PHYSICS LAB, EP Lab,A,1.5
6,21PA1A0101,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,S,1.5
7,21PA1A0101,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,A,1.5
8,21PA1A0101,I B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 6.85
9,21PA1A0101,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,D,3
10,21PA1A0101,I B.Tech - II Semester,  20BS2T02,  ENGINEERING CHEMISTRY, EG,C,3
11,21PA1A0101,I B.Tech - II Semester,  20CE2T02,  ENGINEERING MECHANICS, EM,C,3
12,21PA1A0101,I B.Tech - II Semester,  20CE2P01,  BUILDING PLANNING & COMPUTER AIDED BUILDING DRAWING, BP&CABD,S,1.5
13,21PA1A0101,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
14,21PA1A0101,I B.Tech - II Semester,  20CE2T01,  BUILDING MATERIAL AND CONCRETE TECHNOLOGY, BM&CT,C,3
15,21PA1A0101,I B.Tech - II Semester,  20ME2P01,  ENGINEERING WORKSHOP, EW,B,1.5
16,21PA1A0101,I B.Tech - II Semester,  20BS2P01,  ENGINEERING CHEMISTRY LAB, EC LAB,S,1.5
17,21PA1A0101,I B.Tech - II Semester,  20CS2P01,  COMPUTER PROGRAMMING LAB, CP LAB,S,3
18,21PA1A0101,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 6.85
19,21PA1A0101,II B.Tech - I Semester,  20CE3T02,  Fluid Mechanics, FM,D,3
20,21PA1A0101,II B.Tech - I Semester,  20CE3T01,  Strength of Materials -I, SOM-I,C,3
21,21PA1A0101,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
22,21PA1A0101,II B.Tech - I Semester,  20BS3T01,  Mathematics - III (Complex variables & PDE), M-III (CV&PDE),B,3
23,21PA1A0101,II B.Tech - I Semester,  20CE3P03,  Surveying Field Work Lab, SFW Lab,S,1.5
24,21PA1A0101,II B.Tech - I Semester,  20CE3T03,  Surveying, SUR,C,3
25,21PA1A0101,II B.Tech - I Semester,  20CE3P02,  Highway Engineering Lab, HE Lab,A,1.5
26,21PA1A0101,II B.Tech - I Semester,  20CE3P01,  Concrete Technology Lab, CT Lab,O,1.5
27,21PA1A0101,II B.Tech - I Semester,  20CE3P04,  Building & Earth Science, B&ES,S,2
28,21PA1A0101,II B.Tech - I Semester,  20CE3T04,  Highway Engineering, HE,C,3
29,21PA1A0101,II B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 6.91
30,21PA1A0101,II B.Tech - II Semester,  20BS4T01,"  Mathematics-IV (Numerical Methods, Probability & Statistics)", M-IV,A,3
31,21PA1A0101,II B.Tech - II Semester,  20CE4T01,  Strength of Materials -II, SOM-II,A,3
32,21PA1A0101,II B.Tech - II Semester,  20CE4T02,  Hydraulics and Hydraulic Machinery, HHM,S,3
33,21PA1A0101,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
34,21PA1A0101,II B.Tech - II Semester,  20CE4T03,  Environmental Engineering, EE,B,3
35,21PA1A0101,II B.Tech - II Semester,  20CE4P03,  Fluid Mechanics & Hydraulics Machinery Lab, FM & HM Lab,S,1.5
36,21PA1A0101,II B.Tech - II Semester,  20CE4P01,  Environmental Engineering Lab, EE Lab,A,1.5
37,21PA1A0101,II B.Tech - II Semester,  20CE4P04,  Advanced Construction Planning, ACP,O,2
38,21PA1A0101,II B.Tech - II Semester,  20CE4P02,  Strength of Materials Lab, SOM Lab,S,1.5
39,21PA1A0101,II B.Tech - II Semester,  20CE4J01,  Community Service Project, CSP,A,4
